1	ORDO:166024	Q77.3	http://www.dis.h.u-tokyo.ac.jp/scripts/search/ICD10_searchw.asp?searchstring=Q77.3	ICD-10
2	ORDO:166024	607131	https://www.omim.org/entry/607131	OMIM
3	ORDO:166024	C1846722		UMLS
4	ORDO:166024	4537	http://syndromefinder.ncchd.go.jp/UR-DBMS/SyndromeDetail.php?recid=4537&winid=1	UR-DBMS
5	ORDO:166024	MONDO:0011778	https://monarchinitiative.org/disease/MONDO:0011778	MONDO
6	ORDO:58	203450	https://www.omim.org/entry/203450	OMIM
7	ORDO:58	D038261		MeSH
8	ORDO:58	C0270726		UMLS
9	ORDO:58	E75.2	http://www.dis.h.u-tokyo.ac.jp/scripts/search/ICD10_searchw.asp?searchstring=E75.2	ICD-10
10	ORDO:58	1723	http://syndromefinder.ncchd.go.jp/UR-DBMS/SyndromeDetail.php?recid=1723&winid=1	UR-DBMS
11	ORDO:58	NBK1172	https://www.ncbi.nlm.nih.gov/books/NBK1172/	GeneReviews
12	ORDO:58	H00065	https://www.kegg.jp/dbget-bin/www_bget?H00065	KEGG_DISEASE
13	ORDO:58	MONDO:0008752	https://monarchinitiative.org/disease/MONDO:0008752	MONDO
14	ORDO:166032	Q77.3	http://www.dis.h.u-tokyo.ac.jp/scripts/search/ICD10_searchw.asp?searchstring=Q77.3	ICD-10
15	ORDO:166032	C1836307		UMLS
16	ORDO:166032	609325	https://www.omim.org/entry/609325	OMIM
17	ORDO:166032	6533	http://syndromefinder.ncchd.go.jp/UR-DBMS/SyndromeDetail.php?recid=6533&winid=1	UR-DBMS
18	ORDO:166032	MONDO:0012254	https://monarchinitiative.org/disease/MONDO:0012254	MONDO
19	ORDO:61	248500	https://www.omim.org/entry/248500	OMIM
20	ORDO:61	D008363		MeSH
21	ORDO:61	C0024748		UMLS
22	ORDO:61	E77.1	http://www.dis.h.u-tokyo.ac.jp/scripts/search/ICD10_searchw.asp?searchstring=E77.1	ICD-10
23	ORDO:61	2546	http://syndromefinder.ncchd.go.jp/UR-DBMS/SyndromeDetail.php?recid=2546&winid=1	UR-DBMS
24	ORDO:61	NBK1396	https://www.ncbi.nlm.nih.gov/books/NBK1396/	GeneReviews
25	ORDO:61	H00139	https://www.kegg.jp/dbget-bin/www_bget?H00139	KEGG_DISEASE
26	ORDO:61	MONDO:0009561	https://monarchinitiative.org/disease/MONDO:0009561	MONDO
27	ORDO:166029	Q77.3	http://www.dis.h.u-tokyo.ac.jp/scripts/search/ICD10_searchw.asp?searchstring=Q77.3	ICD-10
28	ORDO:166029	C1836315		UMLS
29	ORDO:166029	609324	https://www.omim.org/entry/609324	OMIM
30	ORDO:166029	6532	http://syndromefinder.ncchd.go.jp/UR-DBMS/SyndromeDetail.php?recid=6532&winid=1	UR-DBMS
31	ORDO:166029	MONDO:0012253	https://monarchinitiative.org/disease/MONDO:0012253	MONDO
32	ORDO:166038	C1855217		UMLS
33	ORDO:166038	250230	https://www.omim.org/entry/250230	OMIM
34	ORDO:166038	2580	http://syndromefinder.ncchd.go.jp/UR-DBMS/SyndromeDetail.php?recid=2580&winid=1	UR-DBMS
35	ORDO:166038	MONDO:0009594	https://monarchinitiative.org/disease/MONDO:0009594	MONDO
36	ORDO:93	10068220		MedDRA
37	ORDO:93	E77.1	http://www.dis.h.u-tokyo.ac.jp/scripts/search/ICD10_searchw.asp?searchstring=E77.1	ICD-10
38	ORDO:93	C0268225		UMLS
39	ORDO:93	C2931840		UMLS
40	ORDO:93	208400	https://www.omim.org/entry/208400	OMIM
41	ORDO:93	C538402		MeSH
42	ORDO:93	D054880		MeSH
43	ORDO:93	1801	http://syndromefinder.ncchd.go.jp/UR-DBMS/SyndromeDetail.php?recid=1801&winid=1	UR-DBMS
44	ORDO:93	H00145	https://www.kegg.jp/dbget-bin/www_bget?H00145	KEGG_DISEASE
45	ORDO:93	MONDO:0008830	https://monarchinitiative.org/disease/MONDO:0008830	MONDO
46	ORDO:166035	250410	https://www.omim.org/entry/250410	OMIM
47	ORDO:166035	C1855188		UMLS
48	ORDO:166035	2584	http://syndromefinder.ncchd.go.jp/UR-DBMS/SyndromeDetail.php?recid=2584&winid=1	UR-DBMS
49	ORDO:166035	MONDO:0009598	https://monarchinitiative.org/disease/MONDO:0009598	MONDO
50	ORDO:585	E75.2	http://www.dis.h.u-tokyo.ac.jp/scripts/search/ICD10_searchw.asp?searchstring=E75.2	ICD-10
51	ORDO:585	272200	https://www.omim.org/entry/272200	OMIM
52	ORDO:585	C0268263		UMLS
53	ORDO:585	C1720864		UMLS
54	ORDO:585	3071	http://syndromefinder.ncchd.go.jp/UR-DBMS/SyndromeDetail.php?recid=3071&winid=1	UR-DBMS
55	ORDO:585	NBK538937	https://www.ncbi.nlm.nih.gov/books/NBK538937/	GeneReviews
56	ORDO:585	H00272	https://www.kegg.jp/dbget-bin/www_bget?H00272	KEGG_DISEASE
57	ORDO:585	MONDO:0010088	https://monarchinitiative.org/disease/MONDO:0010088	MONDO
58	ORDO:118	D044905		MeSH
59	ORDO:118	C0342849		UMLS
60	ORDO:118	E77.1	http://www.dis.h.u-tokyo.ac.jp/scripts/search/ICD10_searchw.asp?searchstring=E77.1	ICD-10
61	ORDO:118	248510	https://www.omim.org/entry/248510	OMIM
62	ORDO:118	C2931893		UMLS
63	ORDO:118	2547	http://syndromefinder.ncchd.go.jp/UR-DBMS/SyndromeDetail.php?recid=2547&winid=1	UR-DBMS
64	ORDO:118	H00140	https://www.kegg.jp/dbget-bin/www_bget?H00140	KEGG_DISEASE
65	ORDO:118	MONDO:0009562	https://monarchinitiative.org/disease/MONDO:0009562	MONDO
66	ORDO:166068	C1857762		UMLS
67	ORDO:166068	Q04.3	http://www.dis.h.u-tokyo.ac.jp/scripts/search/ICD10_searchw.asp?searchstring=Q04.3	ICD-10
68	ORDO:166068	610204	https://www.omim.org/entry/610204	OMIM
69	ORDO:166068	6719	http://syndromefinder.ncchd.go.jp/UR-DBMS/SyndromeDetail.php?recid=6719&winid=1	UR-DBMS
70	ORDO:166068	NBK9673	https://www.ncbi.nlm.nih.gov/books/NBK9673/	GeneReviews
71	ORDO:166068	MONDO:0012438	https://monarchinitiative.org/disease/MONDO:0012438	MONDO
72	ORDO:141	D017825		MeSH
73	ORDO:141	C0206307		UMLS
74	ORDO:141	10067608		MedDRA
75	ORDO:141	E75.2	http://www.dis.h.u-tokyo.ac.jp/scripts/search/ICD10_searchw.asp?searchstring=E75.2	ICD-10
76	ORDO:141	271900	https://www.omim.org/entry/271900	OMIM
